"New Loan? (Y=1, N=0)",Year of Data,Country,Type of Organization,Year founded,Product financed by Root Capital ,Number of suppliers,"Number of suppliers (with 5,000 member cap)",Country daily minimum wage,Total revenue (US$),Total revenue (US$) - adjusted,Volume of sales (lbs),"Fixed assets (property, plant & eqpmt (PPE)) (US$)",Total assets (US$),Total equity (US$),Total sales of product financed (US$),Export sales for product financed (US$),Export volume for product financed (lbs),% Export sales sold as certified Fairtrade,Amount of RC working capital loan (US$) approved,Amount of RC working capital loan (US$) disbursed,Total working capital debt (US$),Financing from commercial banks? (Y/N),Purchases from rural producers (US$),Purchases from rural producers (US$) - adjusted,Volume purchased from rural producers (lb),Average local price per pound at farmgate  (US$),Average price per pound paid by enterprise to rural producers (US$),Fair Trade certification? (Y/N),Utz Kapeh certification? (Y/N),Total acreage under cultivation (1 hectare = 2.4711 acres) - adjusted,Total acreage under organic cultivation,Total number of farmers certified organic,Total carbon sequestered (lbs),Purchases/Suppliers,Acreage/Suppliers,price/farmgate price
0,2008,1,1,1995,Coffee,967,967,4.52,990157,990157,566400,292818,378785,375613,1044833,1025858,549100,0,500000,120000,580000,1,752866,752866,782431.46,,0.96,1,0,6120.91,5794.73,911,21266657.27,778.5584281,6.329798035,
0,2008,0,1,2001,Coffee,91,91,11.71,132654,132654,84000,2596,11875,2868,127680,127680,84000,1,125000,125000,125000,0,76212,76212,84700,1.16,0.9,1,0,766.04,657.31,60,2412337.24,837.4945055,8.418032967,0.775678867
0,2008,2,2,1992,Coffee,1557,1557,6.03,1880140,1880140,2096500,45119,1341916,732638,2898144,2749454,1956500,0.47,637000,429000,1207200,0,1811548,1811548,1999400,1.02,0.91,1,0,4428.21,1947.23,454,7146322.36,1163.486191,2.844066281,0.88828021
0,2008,2,1,2002,Coffee,410,410,10.84,289806,289806,,18078,71602,41789,,,,,147000,17000,190643,0,219682,219682,,0.7,,1,0,864.89,,410,0,535.8097561,2.10947561,
0,2008,0,1,1998,Coffee,431,431,11.71,861906,861906,563000,79107,380740,268271,807209,717728,461800,0.83,350000,113000,187144,1,616144,616144,551300,1.09,1.12,1,0,3563.33,1042.8,109,3827091.41,1429.568445,8.26757819,1.025339606
0,2008,0,1,2003,Coffee,128,128,11.71,742437,742437,455300,3289,149730,77685,765302,765302,455300,1,300000,300000,358000,0,584496,584496,513200,1.14,1.14,1,0,1356.63,1079.87,133,3963125.47,4566.375,10.59870234,0.999056488
0,2008,2,1,2003,Coffee,1000,1000,7.73,594458,594458,303700,71592,265010,243657,607410,607410,303700,1,200000,77000,77000,0,423410,423410,,,,1,0,2804.7,2804.7,,10293243.5,423.41,2.8046985,
0,2008,0,1,2004,Coffee,164,164,11.71,400095,400095,378800,1209,349158,6195,595114,550114,363800,0.83,250000,225800,225800,0,441948,441948,383700,1.2,1.15,1,0,934.08,825.35,134,3029024.96,2694.804878,5.695584146,0.959838415
0,2008,0,1,2000,Coffee,436,436,11.71,2206358,2206358,1323800,149684,429970,407680,2123456,2123456,1323800,0.94,1222000,1203500,1315500,0,1827394,1827394,1531200,1.3,1.19,1,0,2794.81,2036.19,308,7472804.09,4191.270642,6.410124083,0.918030102
0,2008,0,1,2008,Coffee,255,255,11.71,156632,156632,152100,0,204886,4567,222714,197985,125200,1,200000,136000,155129,0,130134,130134,157469,1.29,0.83,1,0,1230.61,1230.61,255,4516330.63,510.3294118,4.825912941,0.640628122
0,2008,2,1,1989,Coffee,607,607,7.73,1643573,1643573,864800,225068,1207497,1104677,1632083,1632083,864800,0.86,200000,200000,522000,0,1384670,1384670,1103000,0.85,1.26,1,0,1705.06,1618.57,600,5940153.74,2281.169687,2.80899341,1.476902565
0,2008,2,1,1990,Coffee,293,293,6.05,601890,601890,316400,96396,393751,136783,564113,564113,316400,1,240000,240000,307000,0,467129,467129,506920,0.79,0.92,1,0,5713.18,1828.61,,6711013.38,1594.296928,19.49891877,1.16646124
0,2008,0,1,1978,Coffee,350,350,11.71,2267131,2267131,1330200,78350,831068,277249,2042153,1834588,1118300,1,750000,686000,936000,1,1458000,1458000,1350000,1.08,1.08,1,0,2965.32,2965.32,350,10882724.4,4165.714286,8.472342857,1
0,2008,0,2,1970,Coffee,2236,2236,11.71,3811783,3811783,2236864,674017,1612712,864351,3926106,3623591,,0,350000,350000,878100,0,6793208,3049426.4,,,,1,0,17759.8,5120.12,513,18790837.46,3038.107335,7.942663551,
1,2008,2,3,2004,Coffee,534,534,10.84,9980702,9980702,6467900,2961707,4926544,1954377,8642080,8160472,6049400,0,800000,450000,3833966,1,8315645,8315645,6545514.8,,1.27,0,1,6177.75,0,0,0,15572.36891,11.56882022,
0,2008,1,2,2004,Coffee,1683,1683,11.01,996958,996958,1282900,53244,233203,71062,1899253,1733490,1122600,1227389,500000,200000,477000,0,1299255,1299255,965100,1.2,1.35,1,0,10514.53,6375.44,1107,23397857.46,771.9875223,6.24749287,1.12186561
1,2008,0,1,2007,Coffee,136,136,11.71,172280,172280,139120,0,388,388,174557,131707,97120,0,114000,147900,147900,0,171284,171284,165600,1.02,1.03,1,0,899.48,899.48,130,3301093.07,1259.441176,6.613826471,1.014042815
0,2008,0,1,1966,Coffee,191,191,11.71,1888596,1888596,848000,104225,499556,181992,1326051,1186637,706500,1,350000,367000,667000,0,960120,960120,1009600,1.14,0.95,1,0,1776.72,1420.88,191,5214638.78,5026.806283,9.302203665,0.834202185
1,2008,2,1,1980,Coffee,160,160,7.73,277140,277140,177400,87288,239890,118860,323595,323595,177400,1,240000,168000,175000,0,239439,239439,133000,0.87,1.8,1,0,294.06,158.15,84,580411.97,1496.49375,1.837880625,2.069302567
0,2008,2,2,1997,Coffee,2467,2467,6.03,9303333,9303333,5109200,540572,8572812,1036612,8174559,7941271,4924700,0.72,2150000,1650000,4526044.98,1,4514071.66,4514071.66,3568100,0.6,1.27,1,1,18286.14,4653.08,307,17076808.37,1829.781783,7.412298338,2.108531926
0,2008,0,2,1970,Coffee,4581,4581,,12849085,12849085,,,,,,,,,,375000,,,11215382,11215382,,,,,,10415.69,,,,2448.238812,2.273670923,
0,2008,2,1,1992,Coffee,214,214,6.05,816530,816530,535500,104673,451227,156548,816532,811753,528800,0.86,300000,275000,393780,0,614292,614292,,,,1,0,1391.23,1391.23,214,5105811.53,2870.523364,6.501071495,
0,2008,0,2,1999,Coffee,1795,1795,11.71,7384455,7384455,4380800,672082,1771208,877495,6760075,6760075,4380800,0.71,1500000,2430000,2838559,1,6060094,6060094,3915449,1.18,1.55,1,0,9199.91,4131.68,936,15163262.66,3376.096936,5.125295432,1.311643411
